report,report_short,cohort,level,aggregation,feature_set,model,split,auc_macro_ovr,early_vs_advanced_auc,t1_t2_auc,t2_t3_auc,t3_t4_auc
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,hybrid,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7800503934746373,0.8711538461538462,0.6749999999999999,0.7908496732026145,0.6966333703292638
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.7800303853441277,0.8760816067317616,0.7167133520074697,0.7648500576701268,0.7750865051903114
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.7800303853441277,0.8760816067317616,0.7167133520074697,0.7648500576701268,0.7750865051903114
dinov3_trainset_feature_eval_anatomic_schema,Anatomic schema · Prospective,Validation,patient,—,dino_scalar_plus_clinical_mask_common,extra_trees,val,0.7800299154312254,0.8793706293706294,0.675,0.8026143790849672,0.6736958934517203
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top128_plus_clinical_anatomic,extra_trees,test_prospective_full,0.779970830583568,0.8631868131868133,0.7089499647639183,0.7891414141414141,0.7437739463601533
dinov3_trainset_feature_eval_anatomic_schema,Anatomic schema · Prospective,Prospective full,patient,—,clinical_mask_common,extra_trees,test_prospective_full,0.7799665717376074,0.865960149241883,0.6539682539682539,0.7083333333333333,0.8122050959421203
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_rich_scalar_plus_clinical_anatomic,extra_trees,test_prospective_full,0.7799296491918297,0.8634453781512604,0.6994362226920368,0.7868265993265994,0.7462883141762453
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top2_advanced,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.7797320827667167,0.874077161228864,0.7202614379084967,0.7569204152249135,0.7722161056936143
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top2_advanced,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.7797320827667167,0.874077161228864,0.7202614379084967,0.7569204152249135,0.7722161056936143
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top2_advanced,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7795932736813197,0.8812937062937062,0.655,0.7738562091503269,0.6981132075471698
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top2_advanced,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7795932736813197,0.8812937062937062,0.655,0.7738562091503269,0.6981132075471698
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top2_advanced,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7795932736813197,0.8812937062937062,0.655,0.7738562091503269,0.6981132075471698
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,hybrid,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.7794757864064876,0.8783242041755973,0.7126050420168067,0.7700403690888119,0.772923875432526
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,hybrid,dino_top64_plus_clinical_anatomic,random_forest,test_prospective_full,0.7794757864064876,0.8783242041755973,0.7126050420168067,0.7700403690888119,0.772923875432526
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top64_plus_clinical_anatomic,extra_trees,test_prospective_full,0.7794333663941608,0.8652230122818357,0.7181113460183227,0.779882154882155,0.7483836206896551
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,frame,none,dino_top64_plus_clinical_anatomic,logreg,test_prospective_full,0.7792053047847937,0.8975342815773784,0.6958803463657832,0.7532072072072071,0.7254610472541506
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,clinical_anatomic,random_forest,val,0.7791739864695796,0.8847902097902097,0.64,0.7843137254901962,0.7155012948575655
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,mean,clinical_anatomic,random_forest,val,0.7791739864695796,0.8847902097902097,0.64,0.7843137254901962,0.7155012948575655
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,mean,clinical_anatomic,random_forest,val,0.7791739864695796,0.8847902097902097,0.64,0.7843137254901962,0.7155012948575655
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top16_plus_clinical_anatomic,extra_trees,val,0.7791256686838074,0.8958041958041958,0.5883333333333334,0.7803921568627451,0.7132815390307067
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,max,dino_top16_plus_clinical_anatomic,extra_trees,val,0.7791256686838074,0.8958041958041958,0.5883333333333334,0.7803921568627451,0.7132815390307067
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,max,dino_top16_plus_clinical_anatomic,extra_trees,val,0.7791256686838074,0.8958041958041958,0.5883333333333334,0.7803921568627451,0.7132815390307067
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7790059118098935,0.866958041958042,0.685,0.7895424836601307,0.702552719200888
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7790059118098935,0.866958041958042,0.685,0.7895424836601307,0.702552719200888
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7790059118098935,0.866958041958042,0.685,0.7895424836601307,0.702552719200888
dinov3_trainset_feature_eval,Compact scalar · Prospective,Validation,patient,—,dino_scalar_plus_clinical_mask_common,extra_trees,val,0.7788794338435641,0.8870748299319728,0.6276422764227643,0.796078431372549,0.7127814088598403
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.7787921117849166,0.8688179725331427,0.6289449112978525,0.7168396770472896,0.8194007549543881
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.7787482350953638,0.8739580852583949,0.7288515406162465,0.7608131487889275,0.7635655866624725
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.7787482350953638,0.8739580852583949,0.7288515406162465,0.7608131487889275,0.7635655866624725
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7787402821742069,0.8646853146853147,0.6883333333333334,0.7895424836601307,0.7021827598964113
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7787402821742069,0.8646853146853147,0.6883333333333334,0.7895424836601307,0.7021827598964113
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7787402821742069,0.8646853146853147,0.6883333333333334,0.7895424836601307,0.7021827598964113
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,hybrid,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.7787321781477672,0.8768952925299675,0.7243697478991596,0.765282583621684,0.7642340358603334
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,hybrid,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.7787321781477672,0.8768952925299675,0.7243697478991596,0.765282583621684,0.7642340358603334
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7785879524601,0.880944055944056,0.6499999999999999,0.8,0.6729559748427673
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,mean,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7785879524601,0.880944055944056,0.6499999999999999,0.8,0.6729559748427673
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,mean,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7785879524601,0.880944055944056,0.6499999999999999,0.8,0.6729559748427673
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top64_plus_clinical_anatomic,logreg,val,0.7783624162914906,0.8977272727272728,0.5700000000000001,0.7986928104575164,0.7480577136514983
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,max,dino_top64_plus_clinical_anatomic,logreg,val,0.7783624162914906,0.8977272727272728,0.5700000000000001,0.7986928104575164,0.7480577136514983
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,max,dino_top64_plus_clinical_anatomic,logreg,val,0.7783624162914906,0.8977272727272728,0.5700000000000001,0.7986928104575164,0.7480577136514983
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,—,,,test,0.7783004431548477,0.8686195125823608,0.6285714285714286,0.7155420991926184,0.8192041522491349
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top2_advanced,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.7779766721036145,0.8716956418194808,0.7309056956115779,0.7583621683967705,0.7630937401698645
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top2_advanced,dino_top128_plus_clinical_anatomic,random_forest,test_prospective_full,0.7779766721036145,0.8716956418194808,0.7309056956115779,0.7583621683967705,0.7630937401698645
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7778690859741177,0.8795454545454545,0.66,0.7999999999999999,0.6814650388457271
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,mean,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7778690859741177,0.8795454545454545,0.66,0.7999999999999999,0.6814650388457271
