script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
wait_and_run_tabfm_20260815.sh,utility,shell,7,scripts,scripts/analysis,review,false,
wait_for_sam31_ready.py,unknown,unknown,,scripts,needs_review,review,false,needs manual review
wall_lesion_aware_cluster.py,current,analysis,4,scripts,scripts/current,review_paths,false,
watch_gastricus_dual_finish.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
watch_gastricus_next_gpu.sh,utility,shell,7,scripts,scripts/analysis,review,false,
watch_sam31_epoch3_then_continue.sh,utility,shell,7,scripts,scripts/analysis,review,false,
watch_sam31_full_components_run2.sh,utility,shell,7,scripts,scripts/analysis,review,false,
write_gastricus_plan_report_docx.py,runtime,module,,scripts,scripts/runtime,import_only,true,
write_gastricus_zh_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
write_reader_workbench_spec_docx.py,runtime,module,,scripts,scripts/runtime,import_only,true,
yolo_detection_runtime.py,runtime,detection,1,scripts,scripts/runtime,import_only,true,
